품명,가격,카테고리,생산지,품종,당도,산도,바디,타닌
"롱 메도우 랜치, 와이너리 카버네 소비뇽",가격정보없음,레드,미국,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,4,5
"마르티네즈 부한다, 칸디다토 비우라","9,900원",화이트,스페인,비우라 (Viura) ,1,4,3,1
"마르티네즈 부한다, 칸디다토 템프라니요 레드","9,900원",레드,스페인,템프라니요 (Tempranillo) ,1,3,3,2
몬테스 알파 피노 누아,"60,000원",레드,칠레,피노 누아 (Pinot Noir) ,1,3,3,3
몬테스 리미티드 셀렉션 피노 누아,"36,000원",레드,칠레,피노 누아 (Pinot Noir) ,1,4,2,2
몬테스 슈럽,가격정보없음,로제,칠레,시라/쉬라즈 (Syrah/Shiraz) ,2,0,3,0
몬테스 클래식 샤도네,가격정보없음,화이트,칠레,샤르도네 (Chardonnay) ,1,0,3,0
몬테스 클래식 말벡,가격정보없음,레드,칠레,말벡 (Malbec) ,1,0,4,0
"몬테스, 빌라 몬테스 샤도네",가격정보없음,화이트,칠레,샤르도네 (Chardonnay) ,1,2,3,1
몬테스 알파 샤도네,가격정보없음,화이트,칠레,샤르도네 (Chardonnay) ,1,0,4,0
몬테스 레이트 하비스트 375ml,"37,000원",화이트,칠레,게뷔르츠트라미너 (Gewurztraminer) ,5,0,4,0
"몬테스, 빌라 몬테스 카버네 소비뇽",가격정보없음,레드,칠레,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,3,3
몬테스 클래식 소비뇽 블랑,가격정보없음,화이트,칠레,소비뇽 블랑 (Sauvignon Blanc) ,1,0,3,0
"몬테스, 폴리 시라","220,000원",레드,칠레,시라/쉬라즈 (Syrah/Shiraz) ,1,3,5,5
카이켄 말벡 레세르바,가격정보없음,레드,아르헨티나,말벡 (Malbec) ,1,0,4,0
"몬테베르티네, 레 뻬르골레 또르테",가격정보없음,레드,이탈리아,산지오베제 (Sangiovese) ,1,4,4,4
"몬테베르티네, 레 뻬르골레 또르테 1500ml",가격정보없음,레드,이탈리아,산지오베제 (Sangiovese) ,1,0,0,0
"닐 엘리스, 카버네 소비뇽","53,000원",레드,남아프리카,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,3,4
"닐 엘리스, 샤도네이","45,000원",화이트,남아프리카,샤르도네 (Chardonnay) ,1,4,3,1
"닐 엘리스, 피노타쥬 스텔렌보쉬",가격정보없음,레드,남아프리카,피노타주 (Pinotage) ,1,4,3,3
"닐 엘리스, 쉬라즈","53,000원",레드,남아프리카,시라/쉬라즈 (Syrah/Shiraz) ,1,4,4,4
"닐 엘리스, 소비뇽 블랑","43,000원",화이트,남아프리카,소비뇽 블랑 (Sauvignon Blanc) ,1,5,3,1
"닐 엘리스, 빈야드 셀렉션 카버네 소비뇽",가격정보없음,레드,남아프리카,카베르네 소비뇽 (Cabernet Sauvignon) ,1,0,3,0
"닐 엘리스, 빈야드 셀렉션 시라",가격정보없음,레드,남아프리카,시라/쉬라즈 (Syrah/Shiraz) ,1,0,3,0
"폴 자불레 애네, 크로즈 에르미타주 레 잘레","63,000원",레드,프랑스,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,3
"폴 자불레 애네, 에르미타쥬 라 샤펠","600,000원",레드,프랑스,시라/쉬라즈 (Syrah/Shiraz) ,1,0,5,0
"폴 자불레 애네, 에르미타쥬 라 샤펠","640,000원",레드,프랑스,시라/쉬라즈 (Syrah/Shiraz) ,1,0,5,0
