,품종,당도,산도,바디,타닌
331,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,5
332,샤르도네 (Chardonnay) ,1,0,0,0
333,샤르도네 (Chardonnay) ,1,3,2,1
334,진판델 (Zinfandel) ,2,3,4,3
335,진판델 (Zinfandel) ,2,2,2,1
336,시라/쉬라즈 (Syrah/Shiraz) ,1,3,3,3
337,비오니에 (Viognier) ,1,3,2,1
338,진판델 (Zinfandel) ,1,4,5,4
339,리슬링 (Riesling) ,2,3,3,1
340,샤르도네 (Chardonnay) ,1,3,3,1
341,피노 누아 (Pinot Noir) ,1,3,3,3
342,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,5,3
343,피노 누아 (Pinot Noir) ,1,3,3,2
344,샤르도네 (Chardonnay) ,1,0,4,0
345,샤르도네 (Chardonnay) ,1,4,4,1
346,샤르도네 (Chardonnay) ,1,5,3,1
347,피노 누아 (Pinot Noir) ,1,5,4,2
348,소비뇽 블랑 (Sauvignon Blanc) ,1,4,3,1
350,소비뇽 블랑 (Sauvignon Blanc) ,1,4,3,1
351,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,4
352,샤르도네 (Chardonnay) ,1,3,3,1
353,말벡 (Malbec) ,1,3,5,4
354,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,4
355,샤르도네 (Chardonnay) ,1,3,3,1
356,말벡 (Malbec) ,1,3,4,4
357,메를로 (Merlot) ,1,3,4,4
358,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,3,3
359,샤르도네 (Chardonnay) ,1,3,3,1
360,말벡 (Malbec) ,1,3,4,3
361,메를로 (Merlot) ,1,3,3,3
362,말벡 (Malbec) ,1,3,4,4
363,그릴로 (Grillo) ,1,4,2,1
364,네로 다볼라 (Nero d'Avola) ,1,4,4,3
365,네로 다볼라 (Nero d'Avola) ,1,3,3,3
366,산지오베제 (Sangiovese) ,1,4,2,2
367,카베르네 소비뇽 (Cabernet Sauvignon) ,1,0,0,0
368,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,5
369,모스카토  (Moscato ) ,4,2,3,1
370,피노 누아 (Pinot Noir) ,1,5,2,2
371,피노 누아 (Pinot Noir) ,1,4,2,2
372,피노 누아 (Pinot Noir) ,1,5,2,2
373,피노 누아 (Pinot Noir) ,1,4,2,2
374,소비뇽 블랑 (Sauvignon Blanc) ,1,4,2,1
375,모스카토  (Moscato ) ,5,0,0,0
376,모스카토  (Moscato ) ,4,2,2,1
377,돌체토 (Dolcetto) ,1,4,3,3
378,바르베라 (Barbera) ,1,4,3,3
379,네비올로 (Nebbiolo) ,1,0,4,0
380,네비올로 (Nebbiolo) ,1,0,4,0
381,네비올로 (Nebbiolo) ,1,4,3,3
382,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,4
383,샤르도네 (Chardonnay) ,1,4,4,1
384,샤르도네 (Chardonnay) ,1,4,5,1
385,샤르도네 (Chardonnay) ,1,0,4,0
386,샤르도네 (Chardonnay) ,1,5,5,1
387,샤르도네 (Chardonnay) ,1,4,3,1
388,피노 누아 (Pinot Noir) ,1,4,3,2
389,샤르도네 (Chardonnay) ,1,3,3,1
390,샤르도네 (Chardonnay) ,1,3,3,1
391,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,4,4
392,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,4
393,샤르도네 (Chardonnay) ,1,3,3,1
394,메를로 (Merlot) ,1,3,3,3
395,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
396,비오니에 (Viognier) ,1,0,3,0
397,피노타주 (Pinotage) ,1,3,4,3
398,샤르도네 (Chardonnay) ,1,4,4,1
399,피노 누아 (Pinot Noir) ,1,4,3,3
400,피노 누아 (Pinot Noir) ,1,0,0,0
401,샤르도네 (Chardonnay) ,1,4,4,1
402,피노 누아 (Pinot Noir) ,1,4,3,3
403,소비뇽 블랑 (Sauvignon Blanc) ,1,3,4,1
404,샤르도네 (Chardonnay) ,1,4,3,1
405,피노 누아 (Pinot Noir) ,1,4,4,4
406,소비뇽 블랑 (Sauvignon Blanc) ,1,4,2,1
407,산지오베제 (Sangiovese) ,1,4,4,4
408,산지오베제 (Sangiovese) ,1,3,3,3
409,프루놀로 젠타일 (Prugnolo Gentile) ,1,3,4,4
410,산지오베제 (Sangiovese) ,1,4,3,3
411,샤르도네 (Chardonnay) ,1,3,2,1
412,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
413,시라/쉬라즈 (Syrah/Shiraz) ,1,3,3,4
414,베르디키오 비앙코 (Verdicchio Bianco) ,1,3,3,1
