,품종,당도,산도,바디,타닌
9459,네비올로 (Nebbiolo) ,1,3,4,5
9460,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,5,4
9461,비오니에 (Viognier) ,1,3,3,1
9462,샤르도네 (Chardonnay) ,2,3,2,1
9463,피노 누아 (Pinot Noir) ,1,3,3,3
9464,피노 그리지오 (Pinot Grigio) ,1,3,4,1
9465,피노 블랑 (Pinot Blanc) ,1,3,4,1
9466,소비뇽 블랑 (Sauvignon Blanc) ,1,3,4,1
9467,샤르도네 (Chardonnay) ,1,3,4,1
9468,메를로 (Merlot) ,1,3,5,3
9469,소비뇽 블랑 (Sauvignon Blanc) ,1,3,3,1
9470,베르멘티노 (Vermentino) ,1,4,3,1
9471,피노 누아 (Pinot Noir) ,1,3,3,2
9472,소비뇽 블랑 (Sauvignon Blanc) ,1,3,2,1
9473,리슬링 (Riesling) ,2,3,2,1
9474,베르멘티노 (Vermentino) ,1,3,3,1
9475,모스카토  (Moscato ) ,1,2,2,1
9476,피노 누아 (Pinot Noir) ,1,3,3,2
9477,피노 누아 (Pinot Noir) ,1,4,3,3
9478,샤르도네 (Chardonnay) ,1,2,4,1
9479,피노 누아 (Pinot Noir) ,1,3,4,3
9480,피노 누아 (Pinot Noir) ,1,3,3,2
9481,리슬링 (Riesling) ,1,4,2,1
9482,메를로 (Merlot) ,1,3,4,3
9483,샤르도네 (Chardonnay) ,1,5,3,1
9484,피노 누아 (Pinot Noir) ,1,4,4,2
9485,샤르도네 (Chardonnay) ,1,5,3,1
9486,피노 누아 (Pinot Noir) ,1,4,3,2
9487,브라케토 (Brachetto) ,4,2,2,2
9488,글레라 (Glera) ,1,3,3,1
9490,샤르도네 (Chardonnay) ,1,3,5,1
9491,소비뇽 블랑 (Sauvignon Blanc) ,1,4,3,1
9492,글레라 (Glera) ,1,3,2,1
9493,몬테풀치아노 (Montepulciano) ,1,3,4,3
9495,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,3
9496,젤렌 (Zelen) ,1,3,3,1
9497,메를로 (Merlot) ,1,3,3,3
9498,산지오베제 (Sangiovese) ,1,3,4,3
9499,산지오베제 (Sangiovese) ,1,3,5,4
9500,템프라니요 (Tempranillo) ,1,3,4,3
9501,샤르도네 (Chardonnay) ,1,3,3,1
9502,피노 누아 (Pinot Noir) ,1,3,4,3
9503,카베르네 소비뇽 (Cabernet Sauvignon) ,1,2,4,4
9504,세미용 (Semillon) ,2,3,3,1
9505,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
9506,시라/쉬라즈 (Syrah/Shiraz) ,1,3,5,4
9507,시라/쉬라즈 (Syrah/Shiraz) ,1,3,5,4
9508,시라/쉬라즈 (Syrah/Shiraz) ,1,4,5,5
9509,메를로 (Merlot) ,1,3,4,4
9510,시라/쉬라즈 (Syrah/Shiraz) ,1,4,4,4
9511,시라/쉬라즈 (Syrah/Shiraz) ,1,3,5,5
9512,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,5,5
9513,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,5,5
9514,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,5,5
9515,피노 누아 (Pinot Noir) ,1,3,4,3
9516,소비뇽 블랑 (Sauvignon Blanc) ,1,4,3,1
9517,템프라니요 (Tempranillo) ,1,3,3,3
9518,베르데호 (Verdejo) ,1,3,2,1
9519,카베르네 소비뇽 (Cabernet Sauvignon) ,1,2,4,4
9520,샤르도네 (Chardonnay) ,1,3,3,1
9521,진판델 (Zinfandel) ,1,2,5,4
9522,진판델 (Zinfandel) ,1,2,4,3
9523,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,3,3
9524,샤르도네 (Chardonnay) ,1,3,4,1
9525,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,4
9526,시라/쉬라즈 (Syrah/Shiraz) ,1,3,5,4
9527,따나 (Tannat) ,1,3,4,4
9528,소비뇽 블랑 (Sauvignon Blanc) ,1,4,2,1
9529,소비뇽 블랑 (Sauvignon Blanc) ,1,4,4,1
9530,샤르도네 (Chardonnay) ,1,4,4,1
9531,네로 다볼라 (Nero d'Avola) ,1,3,3,3
9532,리슬링 (Riesling) ,4,3,4,1
9533,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
9534,소비뇽 블랑 (Sauvignon Blanc) ,1,4,3,1
9535,샤르도네 (Chardonnay) ,1,3,3,1
9536,모스카토  (Moscato ) ,4,2,2,1
9537,시라/쉬라즈 (Syrah/Shiraz) ,4,2,3,2
9538,팔랑기나 (Falanghina) ,1,3,3,1
9539,고데요 (Godello) ,1,3,4,1
9540,멘시아 (Mencia) ,1,3,5,4
9541,가르나차 (Garnatxa) ,1,3,3,3
9542,템프라니요 (Tempranillo) ,1,3,4,4
9543,템프라니요 (Tempranillo) ,1,3,4,3
9544,템프라니요 (Tempranillo) ,1,3,4,3
9545,가르나차  (Garnacha) ,1,3,4,3
9546,멘시아 (Mencia) ,1,3,4,4
9547,멘시아 (Mencia) ,1,3,4,4
9548,피노 누아 (Pinot Noir) ,1,4,3,1
9549,피노 누아 (Pinot Noir) ,1,3,3,1
9550,피노 그리지오 (Pinot Grigio) ,1,3,3,1
9551,게뷔르츠트라미너 (Gewurztraminer) ,1,3,3,1
9552,피노 네로 (Pinot Nero) ,1,3,4,3
9553,라그레인 (Lagrein) ,1,3,4,4
9554,메를로 (Merlot) ,1,3,4,3
9555,모스카토 로사 (Moscato Rosa) ,4,2,3,1
9556,글레라 (Glera) ,1,3,2,1
9557,모스카토  (Moscato ) ,4,1,2,1
9558,람브루스코 (Lambrusco) ,4,2,3,1
9560,가르가네가 (Garganega) ,1,4,2,1
9561,가르가네가 (Garganega) ,1,4,3,1
9562,가르가네가 (Garganega) ,5,2,5,1
9563,카르메네르 (Carmenere) ,1,3,5,4
9564,말벡 (Malbec) ,1,3,3,4
9565,말벡 (Malbec) ,1,3,5,4
9566,네비올로 (Nebbiolo) ,1,4,4,5
9567,네비올로 (Nebbiolo) ,1,3,4,4
9568,네비올로 (Nebbiolo) ,1,3,4,4
9569,네비올로 (Nebbiolo) ,1,4,3,4
9570,네비올로 (Nebbiolo) ,1,4,3,4
9571,네비올로 (Nebbiolo) ,1,3,3,4
9572,바르베라 (Barbera) ,1,3,3,3
9573,모스카토  (Moscato ) ,4,2,2,1
9574,피노 누아 (Pinot Noir) ,1,4,3,1
9575,피노 누아 (Pinot Noir) ,1,4,3,1
9576,샤르도네 (Chardonnay) ,1,4,4,1
9577,샤르도네 (Chardonnay) ,1,4,4,1
9578,샤르도네 (Chardonnay) ,1,3,3,1
9579,리슬링 (Riesling) ,1,5,2,1
9580,리슬링 (Riesling) ,1,5,2,1
9581,리슬링 (Riesling) ,3,5,2,1
9582,리슬링 (Riesling) ,4,2,3,1
9583,그뤼너 벨트리너 (Gruner Veltliner) ,1,4,3,1
9584,리슬링 (Riesling) ,1,5,2,1
9585,리슬링 (Riesling) ,1,5,2,1
9586,리슬링 (Riesling) ,1,5,2,1
9587,리슬링 (Riesling) ,1,5,3,1
9588,리슬링 (Riesling) ,1,5,3,1
9589,리슬링 (Riesling) ,1,5,2,1
9590,피아노 (Fiano) ,1,4,2,1
9591,모스코필레로 (Moschofilero) ,1,4,2,1
9592,피노 누아 (Pinot Noir) ,1,4,3,1
9593,코르비나 (Corvina) ,1,3,5,3
9594,페테아스카 알바 (Feteasca Alba) ,1,4,3,1
9596,페테아스카 알바 (Feteasca Alba) ,1,3,2,1
9597,피노 누아 (Pinot Noir) ,1,3,4,1
9598,가메이 (Gamay) ,1,4,3,2
9599,피노 누아 (Pinot Noir) ,1,4,3,2
9600,샤르도네 (Chardonnay) ,1,4,3,1
9601,샤르도네 (Chardonnay) ,1,4,3,1
9602,샤르도네 (Chardonnay) ,1,4,3,1
9603,샤르도네 (Chardonnay) ,1,4,4,1
9604,샤르도네 (Chardonnay) ,1,4,3,1
9605,샤르도네 (Chardonnay) ,1,4,3,1
9606,샤르도네 (Chardonnay) ,1,4,3,1
9607,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,3,3
9608,메를로 (Merlot) ,1,3,3,3
9609,피노 누아 (Pinot Noir) ,1,4,3,2
9610,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
9611,템프라니요 (Tempranillo) ,1,3,4,3
9612,피노 누아 (Pinot Noir) ,1,4,3,3
9613,피노 누아 (Pinot Noir) ,1,4,3,3
9614,피노 누아 (Pinot Noir) ,1,4,3,3
9615,피노 누아 (Pinot Noir) ,1,4,3,2
9616,피노 누아 (Pinot Noir) ,1,4,3,2
9617,피노 누아 (Pinot Noir) ,1,4,3,2
9618,피노 누아 (Pinot Noir) ,1,4,3,2
9619,아이렌 (Airen) ,1,4,2,1
9620,템프라니요 (Tempranillo) ,1,3,4,3
9621,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
9622,템프라니요 (Tempranillo) ,1,3,4,3
9623,템프라니요 (Tempranillo) ,1,4,3,3
9624,템프라니요 (Tempranillo) ,1,3,3,3
9625,템프라니요 (Tempranillo) ,1,3,3,3
9626,템프라니요 (Tempranillo) ,1,3,4,3
9627,템프라니요 (Tempranillo) ,1,3,4,3
9628,템프라니요 (Tempranillo) ,1,3,4,3
9629,아이렌 (Airen) ,1,4,2,1
9630,아이렌 (Airen) ,0,0,0,0
9631,시라/쉬라즈 (Syrah/Shiraz) ,1,4,5,4
9632,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
9633,샤르도네 (Chardonnay) ,1,4,3,1
9634,메를로 (Merlot) ,1,3,4,3
9635,샤르도네 (Chardonnay) ,1,3,4,1
9636,샤르도네 (Chardonnay) ,1,4,3,1
9637,샤르도네 (Chardonnay) ,1,4,3,1
9638,샤르도네 (Chardonnay) ,1,3,3,1
9639,말벡 (Malbec) ,1,4,5,4
9640,피노 뮈니에 (Pinot Meunier) ,1,4,3,1
9641,모스카토  (Moscato ) ,4,2,2,1
9642,알리아니코 (Aglianico) ,1,2,5,3
9643,산지오베제 (Sangiovese) ,1,4,4,3
9644,게뷔르츠트라미너 (Gewurztraminer) ,2,4,4,1
9645,리슬링 (Riesling) ,1,4,3,1
9646,리슬링 (Riesling) ,1,4,3,1
9647,피노 그리 (Pinot Gris) ,1,3,2,1
9648,게뷔르츠트라미너 (Gewurztraminer) ,2,4,4,1
9649,샤르도네 (Chardonnay) ,1,3,4,1
9650,피노 누아 (Pinot Noir) ,1,3,3,2
9651,피노 누아 (Pinot Noir) ,1,3,3,2
9652,피노 누아 (Pinot Noir) ,1,3,3,2
9653,샤르도네 (Chardonnay) ,1,3,3,1
9654,산지오베제 (Sangiovese) ,1,4,2,2
9655,소비뇽 블랑 (Sauvignon Blanc) ,1,5,2,1
9656,피노 누아 (Pinot Noir) ,1,5,3,3
9657,샤르도네 (Chardonnay) ,1,3,2,1
9658,피노 비앙코 (Pinot Bianco) ,1,3,3,1
9659,피노 그리지오 (Pinot Grigio) ,1,3,2,1
9660,게뷔르츠트라미너 (Gewurztraminer) ,1,3,4,1
9661,뮐러 트루가우 (Muller Thurgau) ,1,3,3,1
9662,소비뇽 블랑 (Sauvignon Blanc) ,1,3,3,1
9663,피노 누아 (Pinot Noir) ,1,5,3,1
9664,샤르도네 (Chardonnay) ,1,4,2,1
9665,소비뇽 블랑 (Sauvignon Blanc) ,1,4,2,1
9666,시라/쉬라즈 (Syrah/Shiraz) ,0,0,0,0
9667,모나스트렐 (Monastrell) ,1,3,3,4
9668,모나스트렐 (Monastrell) ,1,3,3,3
9670,리슬링 (Riesling) ,0,0,0,0
9671,가메이 (Gamay) ,1,3,3,2
9672,가메이 (Gamay) ,1,3,2,2
9673,가메이 (Gamay) ,1,3,2,2
9674,샤르도네 (Chardonnay) ,1,3,4,1
9675,피노 누아 (Pinot Noir) ,1,3,4,3
9676,피노 누아 (Pinot Noir) ,1,4,3,2
9677,피노 누아 (Pinot Noir) ,1,4,3,3
9678,샤르도네 (Chardonnay) ,1,3,4,1
9679,샤르도네 (Chardonnay) ,1,3,4,1
9680,소비뇽 블랑 (Sauvignon Blanc) ,1,4,2,1
9681,그르나슈 (Grenache) ,0,0,0,0
9682,카베르네 소비뇽 (Cabernet Sauvignon) ,0,0,0,0
9683,샤르도네 (Chardonnay) ,1,3,2,1
9684,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,3,3
9685,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,4,4
9686,샤르도네 (Chardonnay) ,1,3,3,1
9687,샤르도네 (Chardonnay) ,1,3,3,1
9688,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,3,4
9689,소비뇽 블랑 (Sauvignon Blanc) ,1,4,2,1
9690,카르메네르 (Carmenere) ,1,3,4,3
9691,메를로 (Merlot) ,1,3,3,3
9693,메를로 (Merlot) ,1,3,5,4
9694,피노 누아 (Pinot Noir) ,1,3,2,1
9695,리슬링 (Riesling) ,3,5,3,1
9696,가르나차  (Garnacha) ,1,3,3,1
9697,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,4
9698,피노 누아 (Pinot Noir) ,1,2,3,3
9699,소비뇽 블랑 (Sauvignon Blanc) ,1,4,2,1
9700,리슬링 (Riesling) ,2,4,3,1
9701,피노 누아 (Pinot Noir) ,1,2,2,2
9702,피노 누아 (Pinot Noir) ,1,2,3,2
9703,카베르네 소비뇽 (Cabernet Sauvignon) ,1,1,4,4
9704,피노 누아 (Pinot Noir) ,1,5,3,3
9705,소비뇽 블랑 (Sauvignon Blanc) ,1,2,3,1
9706,카베르네 소비뇽 (Cabernet Sauvignon) ,1,1,4,4
9707,카르메네르 (Carmenere) ,2,3,4,4
9708,피노 누아 (Pinot Noir) ,2,2,3,2
9709,메를로 (Merlot) ,2,3,4,3
9710,샤르도네 (Chardonnay) ,1,4,3,1
9711,샤르도네 (Chardonnay) ,1,3,4,1
9712,샤르도네 (Chardonnay) ,1,3,3,1
9713,피노 누아 (Pinot Noir) ,1,3,3,2
9714,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,5,4
9715,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,4
9716,모스카토  (Moscato ) ,4,2,2,1
9717,글레라 (Glera) ,1,5,2,1
9719,몬테풀치아노 (Montepulciano) ,1,3,3,3
9720,트레비아노 (Trebbiano) ,1,4,2,1
9721,카르메네르 (Carmenere) ,1,3,4,4
9722,네비올로 (Nebbiolo) ,1,4,4,4
9723,샤르도네 (Chardonnay) ,1,4,2,1
9724,샤르도네 (Chardonnay) ,1,5,3,1
9725,샤르도네 (Chardonnay) ,1,5,3,1
9726,샤르도네 (Chardonnay) ,1,5,4,1
9727,샤르도네 (Chardonnay) ,1,4,3,1
9728,샤르도네 (Chardonnay) ,1,4,4,1
9729,샤르도네 (Chardonnay) ,1,4,3,1
9730,샤르도네 (Chardonnay) ,1,4,3,1
9731,피노 누아 (Pinot Noir) ,1,4,3,2
9732,피노 누아 (Pinot Noir) ,1,4,2,2
9733,샤르도네 (Chardonnay) ,1,4,3,1
9734,피노 누아 (Pinot Noir) ,1,4,3,3
9735,샤르도네 (Chardonnay) ,1,4,4,1
9736,가메이 (Gamay) ,1,4,2,2
9737,가메이 (Gamay) ,1,4,3,3
9738,가메이 (Gamay) ,1,4,3,3
9739,가메이 (Gamay) ,1,4,3,3
9740,피노 누아 (Pinot Noir) ,1,3,3,2
9741,시라/쉬라즈 (Syrah/Shiraz) ,1,4,4,5
9742,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,3
9743,시라/쉬라즈 (Syrah/Shiraz) ,1,4,5,5
9744,시라/쉬라즈 (Syrah/Shiraz) ,1,3,3,3
9745,비오니에 (Viognier) ,1,4,3,1
9746,소비뇽 블랑 (Sauvignon Blanc) ,1,4,3,1
9747,소비뇽 블랑 (Sauvignon Blanc) ,1,4,3,1
9748,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,3
9749,시라/쉬라즈 (Syrah/Shiraz) ,1,3,3,3
9750,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,3
9751,샤르도네 (Chardonnay) ,1,4,4,1
9752,피노 누아 (Pinot Noir) ,1,3,3,2
9753,그르나슈 (Grenache) ,1,3,4,3
9754,그르나슈 (Grenache) ,1,4,4,4
9755,바르베라 (Barbera) ,0,0,0,0
9756,네비올로 (Nebbiolo) ,1,4,4,4
9757,네비올로 (Nebbiolo) ,1,4,4,5
9758,네비올로 (Nebbiolo) ,1,4,3,4
9759,네비올로 (Nebbiolo) ,1,4,4,5
9760,샤르도네 (Chardonnay) ,1,3,4,1
9762,산지오베제 (Sangiovese) ,1,4,4,3
9763,브루넬로 (Brunello) ,1,4,4,4
9764,브루넬로 (Brunello) ,1,4,4,3
9765,브루넬로 (Brunello) ,1,4,3,3
9766,브루넬로 (Brunello) ,1,3,4,4
9767,브루넬로 (Brunello) ,1,4,3,3
9768,브루넬로 (Brunello) ,1,4,4,3
9769,브루넬로 (Brunello) ,1,4,4,3
9770,브루넬로 (Brunello) ,1,4,5,4
9771,브루넬로 (Brunello) ,1,4,4,4
9772,산지오베제 (Sangiovese) ,1,4,3,3
9773,샤르도네 (Chardonnay) ,1,4,3,1
9774,베르멘티노 (Vermentino) ,1,4,2,1
9775,베르멘티노 (Vermentino) ,1,3,2,1
9776,베르멘티노 (Vermentino) ,1,3,2,1
9777,리슬링 (Riesling) ,1,5,2,1
9778,리슬링 (Riesling) ,1,5,4,1
9779,리슬링 (Riesling) ,1,5,2,1
9780,리슬링 (Riesling) ,1,4,3,1
9781,리슬링 (Riesling) ,1,4,2,1
9782,리슬링 (Riesling) ,1,5,2,1
9783,리슬링 (Riesling) ,1,5,2,1
9784,리슬링 (Riesling) ,1,5,2,1
9785,리슬링 (Riesling) ,1,5,2,1
9786,리슬링 (Riesling) ,5,4,3,1
9787,피노 그리 (Pinot Gris) ,1,4,4,1
9788,리슬링 (Riesling) ,1,5,3,1
9789,리슬링 (Riesling) ,1,4,2,1
9790,리슬링 (Riesling) ,1,4,2,1
9791,템프라니요 (Tempranillo) ,1,3,4,3
9792,템프라니요 (Tempranillo) ,1,3,4,3
9793,글레라 (Glera) ,1,3,3,1
9794,템프라니요 (Tempranillo) ,1,3,4,3
9795,템프라니요 (Tempranillo) ,1,3,3,3
9796,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,3
9797,템프라니요 (Tempranillo) ,0,0,0,0
9798,프리미티보 (Primitivo) ,1,3,5,4
9799,템프라니요 (Tempranillo) ,1,3,4,3
9800,템프라니요 (Tempranillo) ,1,3,4,4
9801,템프라니요 (Tempranillo) ,1,4,4,4
9802,템프라니요 (Tempranillo) ,1,3,4,4
9803,모나스트렐 (Monastrell) ,1,3,4,3
9804,모나스트렐 (Monastrell) ,1,3,5,4
9805,가르나차 (Garnatxa) ,1,3,3,4
9806,가르나차 (Garnatxa) ,1,3,3,3
9809,샤르도네 (Chardonnay) ,1,3,4,1
9810,샤르도네 (Chardonnay) ,1,3,4,1
9811,샤르도네 (Chardonnay) ,1,3,4,1
9812,샤르도네 (Chardonnay) ,1,3,3,1
9814,베르멘티노 (Vermentino) ,1,3,4,1
9815,산지오베제 (Sangiovese) ,1,3,4,3
9816,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,4,4
9817,템프라니요 (Tempranillo) ,1,3,4,4
9818,네비올로 (Nebbiolo) ,1,4,3,4
9819,네비올로 (Nebbiolo) ,1,4,3,4
9820,모스카토  (Moscato ) ,4,2,2,1
9821,베르데호 (Verdejo) ,1,3,3,1
9822,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,5,5
9823,샤르도네 (Chardonnay) ,1,3,5,1
9824,샤르도네 (Chardonnay) ,1,3,5,1
9825,산지오베제 (Sangiovese) ,1,4,3,3
9826,산지오베제 (Sangiovese) ,1,4,3,2
9827,진판델 (Zinfandel) ,1,3,4,4
9828,피노 누아 (Pinot Noir) ,1,3,3,3
9829,시라/쉬라즈 (Syrah/Shiraz) ,1,3,3,3
9830,시라/쉬라즈 (Syrah/Shiraz) ,1,3,5,4
9831,시라/쉬라즈 (Syrah/Shiraz) ,1,4,4,4
9832,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
9833,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,4
9834,피노 누아 (Pinot Noir) ,1,5,2,2
9835,피노 누아 (Pinot Noir) ,1,4,3,2
9836,샤르도네 (Chardonnay) ,1,3,3,1
9837,피노 누아 (Pinot Noir) ,1,4,2,2
9838,시라/쉬라즈 (Syrah/Shiraz) ,1,3,3,3
9839,샤르도네 (Chardonnay) ,1,4,4,1
9840,피노 누아 (Pinot Noir) ,1,4,3,2
9841,샤르도네 (Chardonnay) ,1,5,3,1
9842,피노 누아 (Pinot Noir) ,1,4,3,2
9843,피노 누아 (Pinot Noir) ,1,4,3,3
9844,피노 누아 (Pinot Noir) ,1,4,3,3
9845,피노 누아 (Pinot Noir) ,1,4,3,3
9846,피노 누아 (Pinot Noir) ,1,5,3,3
9847,샤르도네 (Chardonnay) ,1,5,3,1
9848,피노 누아 (Pinot Noir) ,1,4,3,3
9849,샤르도네 (Chardonnay) ,1,4,4,1
9850,샤르도네 (Chardonnay) ,1,4,4,1
9851,샤르도네 (Chardonnay) ,1,4,4,1
9852,샤르도네 (Chardonnay) ,1,5,3,1
9853,샤르도네 (Chardonnay) ,1,5,3,1
9854,샤르도네 (Chardonnay) ,1,5,2,1
9855,샤르도네 (Chardonnay) ,1,5,2,1
9856,피노 누아 (Pinot Noir) ,1,4,3,3
9857,샤르도네 (Chardonnay) ,1,5,3,1
9858,피노 누아 (Pinot Noir) ,1,4,4,2
9859,피노 누아 (Pinot Noir) ,1,4,3,2
9860,알리고테 (Aligote) ,1,5,2,1
9861,피노 누아 (Pinot Noir) ,1,5,3,3
9862,샤르도네 (Chardonnay) ,1,5,3,1
9863,피노 누아 (Pinot Noir) ,1,5,3,3
9864,샤르도네 (Chardonnay) ,1,5,3,1
9865,샤르도네 (Chardonnay) ,1,5,3,1
9866,샤르도네 (Chardonnay) ,1,5,3,1
9867,리슬링 (Riesling) ,1,5,2,1
9868,그뤼너 벨트리너 (Gruner Veltliner) ,1,5,2,1
9869,그뤼너 벨트리너 (Gruner Veltliner) ,1,5,3,1
9870,그뤼너 벨트리너 (Gruner Veltliner) ,1,5,3,1
9871,리슬링 (Riesling) ,1,5,3,1
9872,리슬링 (Riesling) ,1,5,3,1
9873,피노 누아 (Pinot Noir) ,1,4,3,3
9874,피노 누아 (Pinot Noir) ,1,4,3,3
9875,게뷔르츠트라미너 (Gewurztraminer) ,5,1,4,1
9876,샤르도네 (Chardonnay) ,1,4,3,1
9877,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,4,4
9878,시라/쉬라즈 (Syrah/Shiraz) ,1,4,4,4
9879,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,4,4
9880,샤르도네 (Chardonnay) ,1,4,3,1
9881,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,4,4
9882,샤르도네 (Chardonnay) ,1,4,3,1
9883,샤르도네 (Chardonnay) ,1,4,4,1
9884,피노 누아 (Pinot Noir) ,1,4,3,2
9885,샤르도네 (Chardonnay) ,1,4,3,1
9886,피노 그리 (Pinot Gris) ,1,4,3,1
9887,피노 누아 (Pinot Noir) ,1,5,3,3
9888,카르메네르 (Carmenere) ,1,3,3,3
9889,피노 누아 (Pinot Noir) ,1,4,3,2
9890,아이렌 (Airen) ,1,3,3,1
9892,샤르도네 (Chardonnay) ,1,5,2,1
9893,샤르도네 (Chardonnay) ,1,5,2,1
9894,피노 누아 (Pinot Noir) ,1,4,3,3
9895,피노 누아 (Pinot Noir) ,1,4,3,3
9896,피노 누아 (Pinot Noir) ,1,4,3,3
9897,피노 누아 (Pinot Noir) ,1,4,3,3
9898,피노 누아 (Pinot Noir) ,1,4,3,2
9899,피노 누아 (Pinot Noir) ,1,4,3,2
9900,피노 누아 (Pinot Noir) ,1,4,3,2
9901,피노 누아 (Pinot Noir) ,1,5,3,2
9902,피노 누아 (Pinot Noir) ,1,4,3,3
9903,샤르도네 (Chardonnay) ,1,5,4,1
9904,샤르도네 (Chardonnay) ,1,5,4,1
9905,샤르도네 (Chardonnay) ,1,4,4,1
9906,샤르도네 (Chardonnay) ,1,5,4,1
9907,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,3,3
9908,샤르도네 (Chardonnay) ,1,3,3,1
9909,네비올로 (Nebbiolo) ,1,4,4,4
9910,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,4
9911,몬테풀치아노 (Montepulciano) ,1,0,0,0
9912,피노 누아 (Pinot Noir) ,1,3,3,2
9913,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,3
9914,진판델 (Zinfandel) ,1,3,5,4
9915,카베르네 소비뇽 (Cabernet Sauvignon) ,0,0,0,0
9916,샤르도네 (Chardonnay) ,1,3,3,1
9917,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,4
9918,템프라니요 (Tempranillo) ,3,2,3,2
9919,아이렌 (Airen) ,3,2,2,1
9920,템프라니요 (Tempranillo) ,1,3,3,3
9921,템프라니요 (Tempranillo) ,1,3,4,3
9922,시라/쉬라즈 (Syrah/Shiraz) ,1,3,3,3
9923,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
9924,시라/쉬라즈 (Syrah/Shiraz) ,1,3,3,3
9925,리슬링 (Riesling) ,1,5,2,1
9926,피노 그리지오 (Pinot Grigio) ,1,4,3,2
9927,야콧 (Jakot) ,1,4,4,2
9928,리볼라 지알라 (Ribolla Gialla) ,1,4,4,2
9929,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,5,4
9930,알바리뇨 (Albarino(Alvarinho)) ,1,4,2,1
9931,피노 누아 (Pinot Noir) ,1,2,3,3
9932,샤르도네 (Chardonnay) ,1,3,3,1
9934,샤르도네 (Chardonnay) ,1,4,5,1
9935,리슬링 (Riesling) ,1,3,3,1
9936,피노 누아 (Pinot Noir) ,1,4,3,3
9937,소비뇽 블랑 (Sauvignon Blanc) ,1,3,2,1
9938,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,4,4
9939,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,4,4
9940,피노 그리 (Pinot Gris) ,3,4,4,1
9941,리슬링 (Riesling) ,4,2,3,1
9942,나스세따  (Nascetta) ,1,4,3,1
9943,프리미티보 (Primitivo) ,1,3,4,3
9944,소비뇽 블랑 (Sauvignon Blanc) ,1,4,2,1
9945,템프라니요 (Tempranillo) ,1,3,3,3
9946,시라/쉬라즈 (Syrah/Shiraz) ,1,4,4,4
9947,시라/쉬라즈 (Syrah/Shiraz) ,1,4,4,4
9948,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
9949,모스카토  (Moscato ) ,4,2,1,1
9950,모스카토  (Moscato ) ,4,2,1,1
9951,모스카토  (Moscato ) ,4,2,2,1
9952,모스카토  (Moscato ) ,4,2,2,1
9953,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,5,5
9954,샤르도네 (Chardonnay) ,1,4,4,1
9955,시라/쉬라즈 (Syrah/Shiraz) ,1,3,5,4
9956,샤르도네 (Chardonnay) ,1,3,3,1
9957,알리칸테 부쉐 (Alicante Bouschet) ,1,2,5,4
9958,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,5,5
9959,피노 누아 (Pinot Noir) ,1,5,3,1
9960,샤르도네 (Chardonnay) ,1,5,2,1
9961,피노 누아 (Pinot Noir) ,1,5,3,1
9962,피노 누아 (Pinot Noir) ,1,5,3,1
9963,피노 누아 (Pinot Noir) ,1,5,3,1
9964,피노 블랑 (Pinot Blanc) ,1,5,2,1
